County,Population2018,TotalHousingUnitsAffected,UnitsPerPerson,UnitsPer100k
Lake,64148,1550,0.024162873355365717,2416.287335536572
Placer,380077,8241,0.021682448556476715,2168.2448556476716
Santa Cruz,273765,3205,0.011707121070991543,1170.7121070991543
Sacramento,1510023,10633,0.007041614597923343,704.1614597923343
Stanislaus,539301,2802,0.005195614322984752,519.5614322984752
Monterey,433212,1489,0.0034371162387006825,343.71162387006825
Los Angeles,10098052,30140,0.0029847340853463617,298.4734085346362
San Diego,3302833,6882,0.0020836657499788817,208.36657499788816
Nevada,99092,172,0.001735760707221572,173.5760707221572
Contra Costa,1133247,1859,0.0016404190789827814,164.04190789827814
Madera,155013,200,0.001290214369117429,129.02143691174288
Alameda,1643700,1784,0.0010853562085538723,108.53562085538724
San Luis Obispo,281455,288,0.001023254161411238,102.3254161411238
Sonoma,501317,503,0.0010033571572478093,100.33571572478093
Solano,438530,423,0.000964586231272661,96.4586231272661
San Francisco,870044,815,0.0009367342341306876,93.67342341306876
Sutter,95872,84,0.0008761682242990654,87.61682242990653
Orange,3164182,2676,0.0008457162072219613,84.57162072219613
Merced,269075,214,0.0007953172907182013,79.53172907182012
Butte,227075,110,0.000484421446658593,48.4421446658593
Riverside,2383286,725,0.00030420184568700527,30.420184568700527
San Bernardino,2135413,144,6.743426213102571e-05,6.7434262131025715
San Mateo,765935,9,1.1750344350369157e-05,1.1750344350369157
Marin,260295,3,1.1525384659713018e-05,1.1525384659713018
Colusa,21464,0,0.0,0.0
Santa Clara,1922200,0,0.0,0.0
Del Norte,27424,0,0.0,0.0
Shasta,179085,0,0.0,0.0
Sierra,2930,0,0.0,0.0
Siskiyou,43540,0,0.0,0.0
Lassen,31185,0,0.0,0.0
Calaveras,45235,0,0.0,0.0
Amador,37829,0,0.0,0.0
Tehama,63373,0,0.0,0.0
Trinity,12862,0,0.0,0.0
Tulare,460477,0,0.0,0.0
Tuolumne,53932,0,0.0,0.0
Ventura,848112,0,0.0,0.0
Yolo,214977,0,0.0,0.0
Santa Barbara,443738,0,0.0,0.0
San Joaquin,732212,0,0.0,0.0
El Dorado,186661,0,0.0,0.0
Inyo,18085,0,0.0,0.0
Mariposa,17540,0,0.0,0.0
Mendocino,87422,0,0.0,0.0
Modoc,8938,0,0.0,0.0
Mono,14174,0,0.0,0.0
Kern,883053,0,0.0,0.0
Napa,140530,0,0.0,0.0
Alpine,1146,0,0.0,0.0
Kings,150075,0,0.0,0.0
Imperial,180216,0,0.0,0.0
Plumas,18699,0,0.0,0.0
Humboldt,135768,0,0.0,0.0
San Benito,59416,0,0.0,0.0
Glenn,27897,0,0.0,0.0
Fresno,978130,0,0.0,0.0
Yuba,75493,0,0.0,0.0
