NAME,B01003_001E,state,county,County
"Kings County, California",153443,06,031,Kings
"Los Angeles County, California",9829544,06,037,Los Angeles
"Napa County, California",136207,06,055,Napa
"Orange County, California",3167809,06,059,Orange
"Riverside County, California",2458395,06,065,Riverside
"San Bernardino County, California",2194710,06,071,San Bernardino
"San Joaquin County, California",789410,06,077,San Joaquin
"Santa Barbara County, California",446475,06,083,Santa Barbara
"Shasta County, California",182139,06,089,Shasta
"Solano County, California",451716,06,095,Solano
"Stanislaus County, California",552999,06,099,Stanislaus
"Ventura County, California",839784,06,111,Ventura
"Madera County, California",159410,06,039,Madera
"Marin County, California",260206,06,041,Marin
"Mendocino County, California",91305,06,045,Mendocino
"Merced County, California",286461,06,047,Merced
"Monterey County, California",437325,06,053,Monterey
"Nevada County, California",103487,06,057,Nevada
"Placer County, California",412300,06,061,Placer
"Sacramento County, California",1588921,06,067,Sacramento
"San Benito County, California",66677,06,069,San Benito
"San Diego County, California",3286069,06,073,San Diego
"San Francisco County, California",815201,06,075,San Francisco
"San Luis Obispo County, California",283159,06,079,San Luis Obispo
"San Mateo County, California",737888,06,081,San Mateo
"Santa Clara County, California",1885508,06,085,Santa Clara
"Santa Cruz County, California",267792,06,087,Santa Cruz
"Sonoma County, California",485887,06,097,Sonoma
"Sutter County, California",99063,06,101,Sutter
"Tehama County, California",65498,06,103,Tehama
"Tulare County, California",477054,06,107,Tulare
"Yolo County, California",216986,06,113,Yolo
"Yuba County, California",83421,06,115,Yuba
"Lake County, California",68766,06,033,Lake
"Alameda County, California",1648556,06,001,Alameda
"Butte County, California",208309,06,007,Butte
"Contra Costa County, California",1161413,06,013,Contra Costa
"El Dorado County, California",193221,06,017,El Dorado
"Fresno County, California",1013581,06,019,Fresno
"Humboldt County, California",136310,06,023,Humboldt
"Imperial County, California",179851,06,025,Imperial
"Kern County, California",917673,06,029,Kern
