year_qtr,treated,synthetic,gap
2011.0,11.5955617295425,10.635326461789795,0.9602352677527044
2011.25,11.585869188220567,10.659218220960405,0.9266509672601622
2011.5,11.590808920057945,10.665655383605909,0.9251535364520365
2011.75,11.596294940502336,10.679519553661395,0.916775386840941
2012.0,11.554336086215777,10.636920585569268,0.9174155006465092
2012.25,11.558927619265354,10.694131915232008,0.8647957040333463
2012.5,11.579146944139143,10.68365305616625,0.8954938879728935
2012.75,11.6416088750949,10.746648297103766,0.8949605779911334
2013.0,11.587395752432212,10.651083462173299,0.9363122902589129
2013.25,11.590975419198084,10.729831696446645,0.8611437227514394
2013.5,11.584135432438073,10.743465834600512,0.8406695978375609
2013.75,11.62500634828651,10.799133304233479,0.8258730440530311
2014.0,11.63837092101132,10.72636098040603,0.9120099406052908
2014.25,11.610808090772096,10.703259451077317,0.9075486396947792
2014.5,11.606537233593507,10.716031282839532,0.8905059507539743
2014.75,11.629848871992507,10.759022822477034,0.8708260495154736
2015.0,11.63165323940555,10.686269750506728,0.9453834888988215
2015.25,11.655087423551786,10.671061703897799,0.984025719653987
2015.5,11.65704312481138,10.711368682461133,0.9456744423502474
2015.75,11.740076973681974,10.770693078707406,0.9693838949745679
2016.0,11.808739384151552,10.630528786718257,1.1782105974332957
2016.25,11.866116681103078,10.664939592189628,1.2011770889134503
2016.5,11.79213928275116,10.7576971877553,1.0344420949958604
2016.75,11.807223106211003,10.80194012829482,1.005282977916183
2017.0,11.667755913702244,10.668994155664821,0.9987617580374231
2017.25,11.57222842946855,10.702345189591194,0.8698832398773568
2017.5,11.61620381442373,10.805517077121975,0.8106867373017561
2017.75,11.569510566349843,10.84655003703794,0.7229605293119032
2018.0,11.689874281073465,10.678498859980657,1.0113754210928079
2018.25,11.44863224707669,10.711383542536034,0.7372487045406562
2018.5,11.513948275054947,10.75927782361177,0.754670451443177
2018.75,11.52385221665915,10.812686532700955,0.7111656839581961
2019.0,11.686873169837078,10.67102302521158,1.0158501446254977
2019.25,11.506300233176214,10.765645877913792,0.7406543552624214
2019.5,11.553654655184298,10.783487676375529,0.7701669788087688
2019.75,11.5955617295425,10.768141073353659,0.8274206561888402
2020.0,11.747823658981607,10.732621444399363,1.015202214582244
2020.25,11.150122257716092,10.162101204302555,0.9880210534135365
2020.5,11.21159061606466,10.239423933259443,0.9721666828052165
2020.75,11.501433012324911,10.620172209279964,0.8812608030449471
2021.0,11.5600571117025,10.63216274128986,0.9278943704126394
2021.25,11.51337869557905,10.713965816934044,0.7994128786450059
2021.5,11.690053000604355,10.760976169626252,0.9290768309781026
2021.75,11.772598933002696,10.778094809929806,0.9945041230728897
2022.0,11.849104801557557,10.72975145857106,1.1193533429864964
2022.25,11.804440183442185,10.783197286255369,1.0212428971868164
2022.5,11.814281126359216,10.79959598710377,1.0146851392554463
2022.75,11.814754495647867,10.774913408327361,1.0398410873205055
2023.0,11.68894386521107,10.65667879641613,1.0322650687949402
2023.25,11.464179799810701,10.568286699598543,0.8958931002121577
2023.5,11.261618179520955,10.304029452297405,0.9575887272235502
2023.75,11.372110468328,10.352299467069628,1.0198110012583719
2024.0,11.499647704357654,10.555170173136357,0.9444775312212972
2024.25,11.476624485243896,10.612253786895742,0.8643706983481536
2024.5,11.463321970137065,10.562336553044034,0.9009854170930307
2024.75,11.470456281245063,10.600170144831338,0.8702861364137249
2025.0,11.357417197370898,10.48595453946028,0.8714626579106177
