term,coef,std_err,t_value,p_value,model
Intercept,1.0058643227823796,0.45514906657603904,2.2099667925262807,0.027107467038446124,LA_LPM_AnySTEM_BinaryRedline
Redline_CD,0.07879697417025319,0.1348563506548173,0.5843030290204463,0.5590164546393003,LA_LPM_AnySTEM_BinaryRedline
MAGNET_FLAG,0.0,0.0,,,LA_LPM_AnySTEM_BinaryRedline
CHARTER_FLAG,0.0,0.0,,,LA_LPM_AnySTEM_BinaryRedline
PCT_CERTIFIED_FTE,-0.0034378100737197173,0.0044573685131793555,-0.7712644946351077,0.4405501729777598,LA_LPM_AnySTEM_BinaryRedline
TITLE1_FLAG,0.0,0.0,,,LA_LPM_AnySTEM_BinaryRedline
Intercept,0.8567911898709224,0.8480873550381658,1.0102628989585216,0.31236935129661747,LA_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",0.18681907070562384,0.7204623033264304,0.2593044352814376,0.7954003575597968,LA_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",0.201985974361649,0.70940734129181,0.284724956459907,0.7758548691956967,LA_LPM_AnySTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",0.28785620224993996,0.7090050637856267,0.40600020642021195,0.6847424487438161,LA_LPM_AnySTEM_GradeCat
MAGNET_FLAG,0.0,0.0,,,LA_LPM_AnySTEM_GradeCat
CHARTER_FLAG,0.0,0.0,,,LA_LPM_AnySTEM_GradeCat
PCT_CERTIFIED_FTE,-0.003567911898709244,0.004682436991307968,-0.7619775568432373,0.446073399152645,LA_LPM_AnySTEM_GradeCat
TITLE1_FLAG,0.0,0.0,,,LA_LPM_AnySTEM_GradeCat
Intercept,-3.162403482879731,7.099581372211549,-0.4454352048499205,0.6560052754954322,LA_LPM_TotalSTEM_BinaryRedline
Redline_CD,2.424556649582753,1.6809532162811276,1.4423700945983156,0.1491979956623271,LA_LPM_TotalSTEM_BinaryRedline
MAGNET_FLAG,0.0,0.0,,,LA_LPM_TotalSTEM_BinaryRedline
CHARTER_FLAG,0.0,0.0,,,LA_LPM_TotalSTEM_BinaryRedline
PCT_CERTIFIED_FTE,0.080699941202209,0.07076216678947547,1.140439091446979,0.2541034145706309,LA_LPM_TotalSTEM_BinaryRedline
TITLE1_FLAG,0.0,0.0,,,LA_LPM_TotalSTEM_BinaryRedline
Intercept,-3.4233699945066487,9.437356199344736,-0.36274671869907205,0.7167940968509078,LA_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.B]",0.46804132809749344,6.528584876288324,0.07169108420377733,0.9428477516805557,LA_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.C]",2.4745759452517024,6.448496555936519,0.3837446331538466,0.7011677281401898,LA_LPM_TotalSTEM_GradeCat
"C(grade_cat, Treatment('A'))[T.D]",3.2612182751883587,6.624589419003907,0.4922898717063019,0.622514439094258,LA_LPM_TotalSTEM_GradeCat
MAGNET_FLAG,0.0,0.0,,,LA_LPM_TotalSTEM_GradeCat
CHARTER_FLAG,0.0,0.0,,,LA_LPM_TotalSTEM_GradeCat
PCT_CERTIFIED_FTE,0.07923369994506645,0.0696876545977233,1.1369833064758506,0.25554526430590474,LA_LPM_TotalSTEM_GradeCat
TITLE1_FLAG,0.0,0.0,,,LA_LPM_TotalSTEM_GradeCat
